round_num, player_num, fstrokes, bstrokes, acnt, ecnt,aecnt, calc_fscore_numerator, calc_fscore_denominator,  calc_bscore_numerator, calc_bscore_denominator,  calc_oscore_numerator, calc_oscore_denominator
# round 1 -- 8 players
1,  2,  2, -1, 0, 0, 1, 1, 1, 9, 2, 3, 1
1,  4,  0,  2, 0, 0, 0, 3, 1, 1, 1, 2, 1
1, 10,  5,  4, 0, 0, 0, 0, 1, 0, 1, 0, 1
1,  7,  5,  6, 0, 0, 0, 0, 1, 0, 1, 0, 1
1,  8,  4,  6, 0, 0, 0, 0, 1, 0, 1, 0, 1
1, 12,  1, -1, 0, 0, 0, 2, 1, 9, 2, 5, 1
1,  3, -4,  0, 0, 0, 0, 9, 1, 2, 1,10, 1
1,  5, -2, -5, 0, 0, 0, 6, 1, 9, 1,15, 1
# round 2 -- 8 players
2,  2,  2,  2, 0, 0, 0, 0, 1, 0, 1, 0, 1
2,  1, -1, -1, 0, 0, 0, 5, 2, 5, 2, 3, 1
2,  4,  1,  2, 0, 0, 0, 1, 2, 0, 1, 2, 1
2, 11, -3, -2, 1, 0, 0, 9, 1,15, 2,15, 1
2, 12, -1, -2, 0, 0, 0, 5, 2,15, 2,15, 2
2,  7,  1,  6, 0, 0, 0, 1, 2, 0, 1, 0, 1
2,  8,  4,  1, 0, 0, 0, 0, 1, 1, 1, 0, 1
2,  3, -2, -1, 0, 0, 0, 6, 1, 5, 2,15, 2
# round 3 -- 11 players
3, 12, -1, -2, 0, 0, 0, 9, 1, 3, 2,10, 1
3, 11,  0, -5, 0, 1, 0, 6, 1, 9, 1,15, 1
3, 13,  2,  1, 0, 0, 0, 1, 1, 0, 1, 0, 1
3,  9,  3,  0, 0, 0, 0, 0, 1, 0, 1, 0, 1
3,  4,  2,  1, 1, 0, 0, 1, 1, 0, 1, 0, 1
3,  2,  3,  2, 0, 0, 0, 0, 1, 0, 1, 0, 1
3,  1,  2, -3, 0, 0, 0, 1, 1, 9, 2, 3, 1
3,  8,  4, -2, 0, 0, 0, 0, 1, 3, 2, 2, 1
3,  3,  1, -3, 1, 0, 0, 3, 1, 9, 2, 5, 1
3, 14,  6,  3, 0, 0, 0, 0, 1, 0, 1, 0, 1
3,  7,  6,  4, 0, 0, 0, 0, 1, 0, 1, 0, 1
# round 4 -- 5 players
4,  4,  3,  2, 0, 0, 0, 6, 1, 3, 2, 5, 1
4,  2,  3,  0, 0, 0, 0, 6, 1, 6, 1,10, 1
4,  1,  4,  2, 0, 0, 0, 2, 1, 3, 2, 5, 2
4,  3,  3, -1, 0, 0, 0, 6, 1, 9, 1,15, 1
4, 12,  5,  1, 0, 0, 0, 1, 1, 3, 1, 5, 2
# round 5 -- 7 players
5,  1, -4, -3, 0, 0, 0, 9, 1, 9, 1,15, 1
5,  3,  1,  0, 0, 0, 0, 3, 2, 3, 2, 5, 2
5,  2, -2, -2, 0, 0, 0, 9, 2, 6, 1,10, 1
5, 11, -2, -1, 0, 0, 0, 9, 2, 3, 1, 5, 1
5,  4,  1,  0, 0, 0, 0, 3, 2, 3, 2, 5, 2
5,  7,  6,  4, 0, 0, 0, 0, 1, 0, 1, 0, 1
5,  8,  3,  3, 0, 0, 0, 0, 1, 0, 1, 0, 1
# round 6 -- 9 players
6,  2,  1, -1, 0, 0, 0, 1, 2, 1, 1, 0, 1
6,  4,  1, -2, 0, 0, 0, 1, 2, 9, 2, 2, 1
6, 12, -2, -2, 0, 0, 0, 9, 2, 9, 2,15, 2
6, 11, -1, -1, 0, 0, 0, 2, 1, 1, 1, 3, 1
6,  7,  5,  4, 0, 0, 0, 0, 1, 0, 1, 0, 1
6, 10, 10,  5, 0, 0, 0, 0, 1, 0, 1, 0, 1
6,  8,  2,  1, 0, 0, 0, 0, 1, 0, 1, 0, 1
6,  3, -3, -1, 0, 0, 0, 9, 1, 1, 1,15, 2
6,  1, -2, -3, 0, 0, 0, 9, 2, 9, 1,15, 1
# round 7 -- 8 players
7, 12, -1,  1, 0, 0, 0, 6, 1, 3, 2,15, 2
7,  3,  3,  1, 0, 0, 0, 0, 1, 3, 2, 0, 1
7,  7,  4,  6, 0, 0, 0, 0, 1, 0, 1, 0, 1
7,  8,  1,  5, 0, 0, 0, 1, 1, 0, 1, 0, 1
7,  2, -1,  1, 0, 0, 0, 6, 1, 3, 2,15, 2
7,  4,  2,  0, 0, 0, 0, 0, 1, 6, 1, 2, 1
7, 11, -1, -2, 0, 0, 0, 6, 1, 9, 1,15, 1
7,  1,  0,  1, 0, 0, 0, 2, 1, 3, 2, 3, 1
# round 8 -- 5 players
8,  2,  4, -1, 0, 0, 0, 1, 1, 3, 2, 2, 1
8,  1,  1, -2, 1, 0, 0, 6, 1, 9, 2,10, 1
8,  4,  1, -1, 0, 0, 0, 6, 1, 3, 2, 3, 1
8, 11,  1, -2, 0, 0, 0, 6, 1, 9, 2,10, 1
8,  3,  2, -3, 0, 0, 0, 2, 1, 9, 1,10, 1
# round 9 -- 8 players
9,  2, +1, +2, 1, 0, 0, 1, 1, 1, 2, 2, 1
9,  1, -1, -1, 0, 0, 0,15, 2, 9, 1,15, 1
9,  4, +1, +4, 0, 0, 0, 1, 1, 0, 1, 0, 1
9,  3, +2, +2, 0, 0, 0, 0, 1, 1, 2, 0, 1
9, 12, +1,  0, 0, 0, 0, 1, 1, 9, 2, 3, 1
9, 11,  0,  0, 0, 0, 0, 3, 1, 9, 2,15, 2
9,  7, +6, +4, 0, 0, 0, 0, 1, 0, 1, 0, 1
9,  9, -1, +1, 0, 0, 0,15, 2, 2, 1,15, 2
# round 10 -- 5 players
10, 2,  0, -3, 0, 0, 0, 5, 2, 9, 1,15, 2
10, 4,  0, +1, 0, 0, 0, 5, 2, 1, 1, 3, 1
10, 3,  4, -1, 0, 0, 0, 1, 1, 5, 2, 2, 1
10,12, -2, -1, 0, 0, 0,15, 2, 5, 2,15, 2
10,11, -2, -2, 0, 0, 0,15, 2, 6, 1,15, 1
# round 11 -- 6 players
11, 2, -2, -1, 0, 0, 0, 9, 1,15, 2,15, 1
11, 1,  0,  0, 0, 0, 0, 3, 1, 3, 1, 5, 1
11, 4,  2,  1, 0, 0, 0, 2, 1, 2, 1, 3, 1
11, 3, -1, -1, 0, 0, 0, 6, 1,15, 2,10, 1
11, 7,  9,  3, 0, 0, 0, 0, 1, 1, 1, 2, 1
11,10,  7,  6, 0, 0, 0, 1, 1, 0, 1, 0, 1
